movie_title,hero_gender,hero_gender2,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
Snow White and the Seven Dwarfs,female,2,21-Dec-37,Musical,G,"$184,925,485 ","$5,228,953,251 "
Pinocchio,male,1,9-Feb-40,Adventure,G,"$84,300,000 ","$2,188,229,052 "
Fantasia,male,1,13-Nov-40,Musical,G,"$83,320,000 ","$2,187,090,808 "
Song of the South,female,2,12-Nov-46,Adventure,G,"$65,000,000 ","$1,078,510,579 "
Cinderella,female,2,15-Feb-50,Drama,G,"$85,000,000 ","$920,608,730 "
"20,000 Leagues Under the Sea",male,1,23-Dec-54,Adventure,,"$28,200,000 ","$528,279,994 "
Lady and the Tramp,female,2,22-Jun-55,Drama,G,"$93,600,000 ","$1,236,035,515 "
Sleeping Beauty,female,2,29-Jan-59,Drama,,"$9,464,608 ","$21,505,832 "
101 Dalmatians,male,1,25-Jan-61,Comedy,G,"$153,000,000 ","$1,362,870,985 "
The Absent Minded Professor,male,1,16-Mar-61,Comedy,,"$25,381,407 ","$310,094,574 "
Babes in Toyland,female,2,14-Dec-61,Musical,G,"$10,218,316 ","$124,841,160 "
Bon Voyage!,male,1,17-May-62,Comedy,Not Rated,"$9,230,769 ","$109,581,646 "
The Sword in the Stone,male,1,25-Dec-63,Adventure,,"$22,182,353 ","$153,870,834 "
The Jungle Book,male,1,18-Oct-67,Musical,Not Rated,"$141,843,000 ","$789,612,346 "
Blackbeard's Ghost,male,1,8-Feb-68,Comedy,,"$21,540,050 ","$138,612,686 "
The Aristocats,male,1,24-Apr-70,Musical,G,"$55,675,257 ","$255,161,499 "
The Boatniks,female,2,1-Jul-70,Comedy,,"$18,607,492 ","$101,200,742 "
Bedknobs and Broomsticks,female,2,7-Oct-71,Musical,,"$17,871,174 ","$91,305,448 "
The Apple Dumpling Gang,female,2,1-Jul-75,Comedy,,"$31,916,500 ","$131,246,872 "
Freaky Friday,male,1,21-Jan-77,Comedy,,"$25,942,000 ","$98,067,733 "
The Many Adventures of Winnie the Pooh,male,1,11-Mar-77,,,$0 ,$0 
The Rescuers,male,1,22-Jun-77,Adventure,,"$48,775,599 ","$159,743,914 "
Herbie Goes to Monte Carlo,male,1,24-Jun-77,,,"$28,000,000 ","$105,847,527 "
The Black Hole,male,1,21-Dec-79,,,"$35,841,901 ","$120,377,374 "
Midnight Madness,female,2,8-Feb-80,,,"$2,900,000 ","$9,088,096 "
The Last Flight of Noah’s Ark,male,1,25-Jun-80,,,"$11,000,000 ","$34,472,116 "
The Devil and Max Devlin,male,1,1-Jan-81,,,"$16,000,000 ","$48,517,980 "
Amy,female,2,20-Mar-81,Drama,,$0 ,$0 
The Fox and the Hound,male,1,10-Jul-81,Comedy,,"$43,899,231 ","$133,118,889 "
Condorman,male,1,7-Aug-81,Action,,$0 ,$0 
Night Crossing,female,2,5-Feb-82,Drama,,"$4,500,000 ","$12,903,059 "
Tron,male,1,9-Jul-82,Action,,"$26,918,576 ","$77,184,895 "
Tex,male,1,19-Nov-82,Drama,,"$7,199,408 ","$20,643,199 "
Trenchcoat,female,2,11-Mar-83,Comedy,,"$4,304,286 ","$11,519,089 "
Something Wicked This Way Comes,male,1,29-Apr-83,Horror,,"$5,656,087 ","$15,136,765 "
Never Cry Wolf,male,1,7-Oct-83,Drama,,"$27,668,764 ","$70,669,955 "
Running Brave,male,1,4-Nov-83,Drama,,"$1,204,595 ","$3,223,725 "
Splash,male,1,9-Mar-84,Comedy,PG,"$62,599,495 ","$157,057,661 "
Country,male,1,29-Sep-84,Drama,,"$8,400,000 ","$21,075,000 "
Baby: Secret of the Lost Legend,male,1,22-Mar-85,Adventure,,"$14,276,095 ","$33,900,697 "
Return to Oz,female,2,21-Jun-85,Adventure,,"$10,618,813 ","$25,215,934 "
The Black Cauldron,male,1,24-Jul-85,Adventure,,"$21,288,692 ","$50,553,142 "
My Science Project,ale, ,9-Aug-85,Comedy,,"$4,100,000 ","$9,736,051 "
The Journey of Natty Gann,female,2,27-Sep-85,Drama,,"$9,468,512 ","$22,302,956 "
One Magic Christmas,male,1,22-Nov-85,Drama,,"$13,229,514 ","$31,415,432 "
Down and Out in Beverly Hills,female,2,31-Jan-86,Comedy,R,"$62,134,225 ","$141,183,693 "
Off Beat,male,1,11-Apr-86,Comedy,,"$4,842,778 ","$11,003,932 "
Ruthless People,female,2,27-Jun-86,Comedy,R,"$71,624,879 ","$162,748,712 "
The Great Mouse Detective,male,1,2-Jul-86,Adventure,,"$23,605,534 ","$53,637,367 "
Flight of the Navigator,male,1,30-Jul-86,Adventure,,"$18,564,613 ","$42,183,197 "
Tough Guys,male,1,3-Oct-86,Comedy,,"$21,458,229 ","$48,758,184 "
The Color of Money,male,1,17-Oct-86,Drama,R,"$52,293,000 ","$117,957,323 "
Outrageous Fortune,male,1,30-Jan-87,Comedy,R,"$52,864,741 ","$113,976,921 "
Tin Men,male,1,6-Mar-87,Comedy,,"$25,411,386 ","$54,787,202 "
Ernest Goes to Camp,male,1,22-May-87,Comedy,,"$23,509,382 ","$50,686,462 "
Benji the Hunted,male,1,5-Jun-87,Adventure,,"$15,212,539 ","$32,798,382 "
Adventures in Babysitting,female,2,3-Jul-87,Comedy,,"$33,790,923 ","$72,853,569 "
Stakeout,male,1,5-Aug-87,Comedy,R,"$65,673,233 ","$141,592,160 "
Can't Buy Me Love,female,2,14-Aug-87,Romantic Comedy,,"$31,623,833 ","$68,181,300 "
Hello Again,female,2,6-Nov-87,Comedy,,"$20,419,446 ","$44,024,529 "
3 Men and a Baby,male,1,25-Nov-87,Comedy,PG,"$167,780,960 ","$353,334,607 "
Good Morning Vietnam,male,1,23-Dec-87,Comedy,R,"$123,922,370 ","$254,414,837 "
Shoot to Kill,male,1,12-Feb-88,Action,,"$29,300,000 ","$60,097,074 "
D.O.A.,male,1,18-Mar-88,Thriller/Suspense,,"$12,706,478 ","$26,062,188 "
